"year","state","road_user","Sum(cases)"
2018,"VIC","Other or unknown",150
2018,"VIC","Pedal cyclist",2144
2018,"VIC","Pedestrian",830
2018,"VIC","Pick-up truck or van occupant",70
2018,"WA","Bus occupant",12
2018,"WA","Car driver, passenger or unknown position",1485
2018,"WA","Heavy transport driver, passenger or unknown position",46
2018,"WA","Motorcyclist",788
2018,"WA","Other or unknown",60
2018,"WA","Pedal cyclist",665
2018,"WA","Pedestrian",189
2018,"WA","Pick-up truck or van occupant",29
2019,"ACT","Bus occupant",0
2019,"ACT","Car driver, passenger or unknown position",279
2019,"ACT","Heavy transport driver, passenger or unknown position",0
2019,"ACT","Motorcyclist",136
2019,"ACT","Other or unknown",0
2019,"ACT","Pedal cyclist",218
2019,"ACT","Pedestrian",22
2019,"NSW","Bus occupant",97
2019,"NSW","Car driver, passenger or unknown position",4397
2019,"NSW","Heavy transport driver, passenger or unknown position",127
2019,"NSW","Motorcyclist",2565
2019,"NSW","Other or unknown",168
2019,"NSW","Pedal cyclist",1678
2019,"NSW","Pedestrian",858
2019,"NSW","Pick-up truck or van occupant",52
2019,"NT","Bus occupant",0
2019,"NT","Car driver, passenger or unknown position",347
2019,"NT","Heavy transport driver, passenger or unknown position",0
2019,"NT","Motorcyclist",153
2019,"NT","Other or unknown",17
2019,"NT","Pedal cyclist",84
2019,"NT","Pedestrian",38
2019,"NT","Pick-up truck or van occupant",7
2019,"QLD","Bus occupant",39
2019,"QLD","Car driver, passenger or unknown position",4829
2019,"QLD","Heavy transport driver, passenger or unknown position",165
2019,"QLD","Motorcyclist",2322
2019,"QLD","Other or unknown",120
2019,"QLD","Pedal cyclist",1531
2019,"QLD","Pedestrian",444
2019,"QLD","Pick-up truck or van occupant",65
2019,"SA","Bus occupant",14
2019,"SA","Car driver, passenger or unknown position",1075
2019,"SA","Heavy transport driver, passenger or unknown position",44
2019,"SA","Motorcyclist",562
2019,"SA","Other or unknown",23
2019,"SA","Pedal cyclist",526
2019,"SA","Pedestrian",167
2019,"SA","Pick-up truck or van occupant",9
2019,"TAS","Bus occupant",0
2019,"TAS","Car driver, passenger or unknown position",344
2019,"TAS","Heavy transport driver, passenger or unknown position",9
2019,"TAS","Motorcyclist",148
2019,"TAS","Other or unknown",11
2019,"TAS","Pedal cyclist",121
2019,"TAS","Pedestrian",53
2019,"TAS","Pick-up truck or van occupant",0
2019,"VIC","Bus occupant",67
2019,"VIC","Car driver, passenger or unknown position",5996
2019,"VIC","Heavy transport driver, passenger or unknown position",122
2019,"VIC","Motorcyclist",1939
2019,"VIC","Other or unknown",169
2019,"VIC","Pedal cyclist",2215
2019,"VIC","Pedestrian",815
2019,"VIC","Pick-up truck or van occupant",69
2019,"WA","Bus occupant",16
2019,"WA","Car driver, passenger or unknown position",1540
2019,"WA","Heavy transport driver, passenger or unknown position",40
2019,"WA","Motorcyclist",886
2019,"WA","Other or unknown",62
2019,"WA","Pedal cyclist",735
2019,"WA","Pedestrian",227
2019,"WA","Pick-up truck or van occupant",28
2020,"ACT","Bus occupant",0
2020,"ACT","Car driver, passenger or unknown position",230
2020,"ACT","Heavy transport driver, passenger or unknown position",0
2020,"ACT","Motorcyclist",142
2020,"ACT","Other or unknown",12
2020,"ACT","Pedal cyclist",223
2020,"ACT","Pedestrian",14
2020,"ACT","Pick-up truck or van occupant",0
2020,"NSW","Bus occupant",64
2020,"NSW","Car driver, passenger or unknown position",3924
2020,"NSW","Heavy transport driver, passenger or unknown position",125
2020,"NSW","Motorcyclist",2335
2020,"NSW","Other or unknown",138
2020,"NSW","Pedal cyclist",1950
2020,"NSW","Pedestrian",660
2020,"NSW","Pick-up truck or van occupant",78
2020,"NT","Bus occupant",0
2020,"NT","Car driver, passenger or unknown position",385
2020,"NT","Heavy transport driver, passenger or unknown position",6
2020,"NT","Motorcyclist",195
2020,"NT","Other or unknown",23
2020,"NT","Pedal cyclist",108
2020,"NT","Pedestrian",56
2020,"NT","Pick-up truck or van occupant",0
2020,"QLD","Bus occupant",22
2020,"QLD","Car driver, passenger or unknown position",4836
2020,"QLD","Heavy transport driver, passenger or unknown position",171
2020,"QLD","Motorcyclist",2447
2020,"QLD","Other or unknown",142
2020,"QLD","Pedal cyclist",1684
2020,"QLD","Pedestrian",414
2020,"QLD","Pick-up truck or van occupant",85
2020,"SA","Bus occupant",23
2020,"SA","Car driver, passenger or unknown position",1089
2020,"SA","Heavy transport driver, passenger or unknown position",29
2020,"SA","Motorcyclist",583
2020,"SA","Other or unknown",32
2020,"SA","Pedal cyclist",593
2020,"SA","Pedestrian",131
2020,"SA","Pick-up truck or van occupant",23
2020,"TAS","Bus occupant",0
2020,"TAS","Car driver, passenger or unknown position",378
2020,"TAS","Heavy transport driver, passenger or unknown position",0
2020,"TAS","Motorcyclist",192
2020,"TAS","Other or unknown",12
